CONCEPT				POLARITY		INTENSITY
gps				positive		0.107
gps_chip			positive		0.026
gq_magazine			positive		0.071
grab				positive		0.073
grab_bag			negative		-0.73
grab_ball			negative		-0.03
grab_bar			positive		0.109
grab_hold			negative		-0.71
grab_onto			positive		0.963
grabbing_onto			negative		-0.74
grabby				negative		-0.33
grace				positive		0.735
grace_bros			positive		0.076
graceful			positive		0.726
graceful_degradation		positive		0.734
gracefully			positive		0.808
gracefulness			positive		0.906
graceless			negative		-0.82
gracile				positive		0.726
gracility			positive		0.906
gracillimus			positive		0.086
gracious			positive		0.725
gracious_god			positive		0.284
gracious_hospitality		positive		0.725
gracious_invitation		positive		0.852
gracious_lady			positive		0.751
gracious_lord			positive		0.903
gracious_manner			positive		0.725
graciously			positive		0.899
graciousness			positive		0.768
grad_student			positive		0.063
grad_teaching_fellow		positive		0.738
gradation			positive		0.726
grade				positive		0.917
grade_paper			negative		-0.09
gradely				positive		0.817
gradient			positive		0.802
gradual				negative		-0.76
gradual_emergence		negative		-0.83
gradual_erosion			negative		-0.19
gradual_loss			negative		-0.81
gradual_slope			negative		-0.80
gradual_transition		positive		0.142
gradual_weight_loss		positive		0.076
gradually			negative		-0.77
gradually_disappear		negative		-0.72
graduate			positive		0.358
graduate-level			positive		0.858
graduate_assistant		positive		0.208
graduate_assistantship		positive		0.208
graduate_college		negative		-0.03
graduate_course			positive		0.873
graduate_degree			positive		0.873
graduate_education		positive		0.794
graduate_level			positive		0.873
graduate_program		positive		0.873
graduate_school			positive		0.958
graduate_student		positive		0.958
graduate_study			positive		0.76
graduated_from			positive		0.706
graduated_table			negative		-0.84
graduating_bsc			positive		0.639
graduation			positive		0.99
graduation_ceremony		positive		0.872
graduation_rate			positive		0.106
graeco_roman			negative		-0.85
graeme_dott			negative		-0.79
graeme_langlands		positive		0.923
graf				negative		-0.08
graf_von			positive		0.083
graffiti			negative		-0.07
graffiti_art			negative		-0.07
graffiti_artist			negative		-0.07
graffiti_crew			negative		-0.07
graffiti_mural			negative		-0.07
graffiti_tag			negative		-0.07
graffiti_vandal			negative		-0.07
graffiti_vandalism		negative		-0.07
graffiti_writer			negative		-0.07
graffitists			negative		-0.07
graffito			negative		-0.07
graffitti			negative		-0.07
grafitti			negative		-0.07
graft				negative		-0.84
graft_scandal			negative		-0.84
grafter				positive		0.906
graham_cracker			negative		-0.78
graham_cracker_crust		positive		0.043
graham_putnam_mahoney		negative		-0.70
graig_nettle			negative		-0.86
grain				positive		0.029
grain_alcohol			negative		-0.62
grain_bullet			positive		0.917
grain_crop			positive		0.058
grain_drill			negative		-0.78
grain_leather			positive		0.899
grain_legume			positive		0.058
grain_mill			negative		-0.76
grain_sand			negative		-0.02
grainier			positive		0.027
graininess			negative		-0.82
grainy				positive		0.027
grainy_black			positive		0.027
grainy_footage			positive		0.027
grainy_image			positive		0.027
grainy_texture			positive		0.082
gram_carbohydrate_gram_fiber	negative		-0.97
gram_carbs			positive		0.781
gram_negative_bacillus		positive		0.784
gram_negative_bacterium		positive		0.784
gram_per_cubic_centimeter	positive		0.881
graminea			negative		-0.74
graminis			negative		-0.71
graminoids			negative		-0.83
grammaire			negative		-0.76
grammar				positive		0.058
grammar_error			positive		0.583
grammar_mistake			negative		-0.75
grammar_part			positive		0.078
grammatical			positive		0.047
grammatical_category		negative		-0.64
grammatical_construction	positive		0.11
grammatical_error		positive		0.583
grammatical_form		positive		0.908
grammatical_function		negative		-0.64
grammatical_mistake		positive		0.583
grammatical_mood		positive		0.11
grammaticality			positive		0.645
grammatically			positive		0.79
grammatically_incorrect		positive		0.125
grampus				negative		-0.07
grampus_griseus			negative		-0.07
gran_akuma			negative		-0.70
gran_ma_ben			negative		-0.78
granary				negative		-0.86
grand				positive		0.873
grand_admiral			positive		0.824
grand_bargain			positive		0.089
grand_bazaar			positive		0.043
grand_canyon			positive		0.062
grand_canyon_national		positive		0.05
grand_canyon_national_park	positive		0.05
grand_cayman_blue_iguana	negative		-0.83
grand_finale			negative		-0.86
grand_guignol			negative		-0.91
grand_jury			negative		-0.04
grand_mosque			positive		0.211
grand_nephew			positive		0.802
grand_niece			positive		0.802
grand_palace			positive		0.09
grand_piano			negative		-0.83
grand_prix_ivan_yarygin		positive		0.122
grand_teton			positive		0.05
grand_teton_national		positive		0.05
grand_teton_national_park	positive		0.05
grand_tetons			positive		0.05
grand_uncle			positive		0.802
grand_unified_bootloader	positive		0.892
grandad				positive		0.101
grandchild			positive		0.076
grandcourt			positive		0.66
granddaughter			positive		0.879
grande_dame			positive		0.9
grander				positive		0.873
grandest			positive		0.873
grandeur			positive		0.193
grandfather			positive		0.056
grandfatherly			positive		0.91
grandiflorum			negative		-0.74
grandifolia			positive		0.598
grandiloquence			negative		-0.93
grandiloquent			negative		-0.93
grandiose			negative		-0.84
grandiosity			negative		-0.62
grandly				positive		0.875
grandma				positive		0.071
grandma_house			negative		-0.04
grandmother			positive		0.74
grandmotherly			positive		0.695
grandnephew			positive		0.802
grandness			positive		0.743
grandpa				positive		0.76
grandparent			positive		0.873
grandson			positive		0.802
grandstand			positive		0.826
granduncle			positive		0.802
granite_column			positive		0.135
granite_marker			positive		0.099
granite_memorial		positive		0.099
granite_monument		positive		0.099
granite_plaque			negative		-0.77
granite_quarries		negative		-0.74
granite_quarry			negative		-0.74
granite_sarcophagus		negative		-0.04
granitic_magma			negative		-0.92
granny				positive		0.76
granny_flat			positive		0.069
granny_knot			negative		-0.04
granny_smith			positive		0.883
granny_weatherwax		negative		-0.80
granola				negative		-0.75
granola_bar			positive		0.919
grant				positive		0.875
grant_fund			positive		0.883
grant_monies			positive		0.875
grant_proposal			positive		0.875
grant_recipient			positive		0.875
grant_summary_judgment		negative		-0.85
grant_totaling_million		positive		0.875
granted_bail			positive		0.052
granted_citizenship		positive		0.903
granted_clemency		negative		-0.86
grantee				positive		0.917
grantee_institution		positive		0.875
granting			positive		0.909
granting_bail			positive		0.052
granting_citizenship		negative		-0.71
granting_clemency		negative		-0.86
grantor				positive		0.59
granular			positive		0.027
granular_activated_carbon	negative		-0.06
granularity			negative		-0.82
granulate			positive		0.027
granulate_cutworm		negative		-0.04
granulated_sugar		positive		0.047
granulation_tissue		negative		-0.73
granule				positive		0.027
granulocyte			negative		-0.78
granuloma_inguinale		negative		-0.68
granuloma_venereum		negative		-0.74
granulomatosis			negative		-0.69
granulomatous			negative		-0.88
granulomatous_disease		negative		-0.88
granulose			negative		-0.71
grape				negative		-0.75
grape_jelly			positive		0.92
grape_juice			positive		0.068
grape_leaf			positive		0.786
grape_shot			positive		0.896
grape_sugar			positive		0.603
grape_tomato			positive		0.786
grapefruit			negative		-0.05
grapefruit_peel			negative		-0.82
grapeshot			positive		0.896
graph				positive		0.041
graph_paper			positive		0.357
graph_theoretic			negative		-0.93
graph_theory			negative		-0.93
grapheme			negative		-0.67
graphic				positive		0.726
graphic_art			negative		-0.03
graphic_communication		negative		-0.03
graphic_design			negative		-0.03
graphic_designer		negative		-0.03
graphic_display			positive		0.726
graphic_element			positive		0.726
graphic_equalizer		negative		-0.80
graphic_format			positive		0.726
graphic_illustration		positive		0.76
graphic_image			positive		0.726
graphic_imagery			positive		0.726
graphic_layout			positive		0.726
graphic_presentation		positive		0.726
graphic_representation		positive		0.726
graphic_representations		positive		0.726
graphical			positive		0.726
graphical_display		positive		0.031
graphical_element		positive		0.726
graphical_image			positive		0.726
graphical_notation		positive		0.678
graphical_representation	positive		0.039
graphically			positive		0.726
graphicconverter		negative		-0.65
graphite_epoxy			positive		0.803
graphite_pencil			negative		-0.01
graphology			negative		-0.76
grapnel				negative		-0.88
grapple				negative		-0.80
grapple_with			negative		-0.35
grappled_with			negative		-0.35
grappler			negative		-0.80
grapples_with			negative		-0.35
grappling			negative		-0.80
grappling_hook			positive		0.09
grappling_with			negative		-0.35
grasp				positive		0.088
grasp_hand			positive		0.094
grasp_knowledge			positive		0.782
graspable			negative		-0.66
grasper				positive		0.053
grass				positive		0.05
grass-roots			positive		0.827
grass_airfield			negative		-0.65
grass_airstrip			negative		-0.65
grass_berm			positive		0.806
grass_clipping			negative		-0.91
grass_hay			positive		0.058
grass_landing_strip		negative		-0.65
grass_leaved_goldenrod		positive		0.086
grass_runway			negative		-0.65
grass_runways			negative		-0.65
grass_seed			negative		-0.09
grass_shrimp			negative		-0.07
grass_silage			positive		0.058
grass_skink			negative		-0.04
grass_skirt			positive		0.846
grass_snake			negative		-0.70
grass_strip			negative		-0.65
grass_tree			positive		0.076
grassed_over			negative		-0.67
grasshopper			positive		0.943
grasshopper_escapement		negative		-0.78
grassland			negative		-0.74
grassroots_ngo			negative		-0.72
grassroots_organisation		negative		-0.72
grassroots_organization		negative		-0.72
grassy				positive		0.046
grassy_bank			negative		-0.31
grassy_hillside			negative		-0.79
grate				negative		-0.80
grated_cheese			negative		-0.05
grated_ginger			negative		-0.05
grateful			positive		0.923
grateful_appreciation		positive		0.777
grateful_remembrance		positive		0.743
gratefully			positive		0.277
gratefulness			positive		0.284
graticule			negative		-0.03
gratification			positive		0.879
gratify				positive		0.85
gratifyingly			positive		0.371
gratin_dish			negative		-0.78
grating				negative		-0.68
grating_sound			positive		0.749
gratingly			positive		0.029
gratis				positive		0.875
gratitude			positive		0.777
gratitude_towards		positive		0.777
gratuitous			negative		-0.87
gratuitous_nudity		negative		-0.87
gratuitous_violence		negative		-0.87
gratuitously			negative		-0.87
gratuity			positive		0.094
grave				negative		-0.87
grave_accent			negative		-0.67
grave_goods			negative		-0.10
grave_marker			negative		-0.87
grave_monument			negative		-0.10
grave_mound			negative		-0.03
grave_sin			positive		0.035
grave_yard			negative		-0.87
gravedigger			negative		-0.87
gravedigger_scene		negative		-0.90
gravel				negative		-0.80
gravel_airstrip			negative		-0.65
gravel_bar			positive		0.823
gravel_bed			negative		-0.04
gravel_pit			negative		-0.74
gravel_pits			negative		-0.74
gravel_quarry			negative		-0.74
gravel_road			negative		-0.80
gravel_runway			negative		-0.65
gravel_trap			positive		0.943
gravelly_voice			negative		-0.68
gravely_ill			negative		-0.87
graveness			positive		0.816
graveside			negative		-0.87
graveside_service		negative		-0.70
gravesite			negative		-0.87
gravest				negative		-0.64
gravest_crisis			negative		-0.70
gravestone			negative		-0.87
graveyard			negative		-0.83
gravid				positive		0.067
gravitas			positive		0.688
gravitate			positive		0.754
gravitate_toward		positive		0.126
gravitation			negative		-0.67
gravitation_theory		positive		0.802
gravitational_acceleration	negative		-0.67
gravitational_attraction	positive		0.357
gravitational_constant		negative		-0.67
gravitational_force		positive		0.943
gravitational_lens		positive		0.847
gravitational_potential		positive		0.104
gravitational_theory		positive		0.802
gravitational_tide		negative		-0.08
gravitational_wave		positive		0.796
gravitationally_bound		positive		0.629
gravitationally_unstable	negative		-0.75
gravity				positive		0.943
gravity_pull			positive		0.943
gray				negative		-0.59
gray-haired			negative		-0.77
gray_beard			negative		-0.77
gray_cloud			positive		0.058
gray_fox			positive		0.977
gray_fox_urocyon		negative		-0.60
gray_fur			negative		-0.75
gray_green_foliage		negative		-0.94
gray_hair			negative		-0.77
gray_inn			positive		0.046
gray_mist			negative		-0.83
gray_mustache			negative		-0.62
gray_sky			negative		-0.09
gray_sweater			positive		0.132
gray_whale			negative		-0.90
gray_wolf			positive		0.977
gray_wolf_canis_lupus		negative		-0.76
graying_hair			negative		-0.77
grayish				positive		0.893
grayish_blue			positive		0.639
grayness			negative		-0.89
grayson_perry			positive		0.038
graze				positive		0.053
graze_cattle			positive		0.942
grazed_cattle			positive		0.094
grazing_land			negative		-0.88
grazing_right			positive		0.624
grease				negative		-0.86
grease_trap			negative		-0.07
greased_baking_sheet		positive		0.046
greaseproof			negative		-0.73
greaseproof_paper		positive		0.683
greasiness			positive		0.093
greasy				negative		-0.07
greasy_food			negative		-0.71
greasy_grass			positive		0.04
greasy_hair			negative		-0.84
great				positive		0.857
great-grandmother		positive		0.852
great_admiration		positive		0.648
great_admirer			positive		0.648
great_american_songbook		positive		0.196
great_anger			negative		-0.76
great_archon			positive		0.75
great_aunt			positive		0.071
great_boon			positive		0.73
great_burdock			positive		0.599
great_carrier			positive		0.882
great_communicator		positive		0.842
great_dane			negative		-0.8
great_distance			negative		-0.82
great_dodecahedron		positive		0.733
great_egret			positive		0.032
great_exercise			positive		0.857
great_granddaughter		positive		0.802
great_grandfather		positive		0.802
great_grandson			positive		0.802
great_granduncle		positive		0.802
great_great_grandfather		positive		0.802
great_great_grandson		positive		0.802
great_helmsman			negative		-0.76
great_icosahedron		positive		0.733
great_invention			positive		0.02
great_joy			positive		0.132
great_keppel_island		positive		0.939
great_kiskadee			negative		-0.82
great_lake			positive		0.803
great_love			positive		0.743
great_meteor_hotspot		negative		-0.87
great_nephew			positive		0.802
great_nicobar_biosphere		positive		0.086
great_ouse			negative		-0.65
great_outdoors			positive		0.786
great_performance		positive		0.748
great_pleasure			positive		0.748
great_pumpkin			negative		-0.02
great_relief			negative		-0.16
great_solemnity			positive		0.784
great_spotted_woodpecker	positive		0.72
great_team			positive		0.824
great_time			positive		0.752
great_tribulation		negative		-0.68
great_uncle			positive		0.802
great_understand		positive		0.757
great_view			positive		0.103
great_yellowcress		positive		0.861
greatcoat			positive		0.063
greater				positive		0.964
greater_anglia			positive		0.663
greater_awareness		positive		0.103
greater_chickweed		negative		-0.61
greater_coherence		positive		0.782
greater_consistency		positive		0.76
greater_credence		positive		0.909
greater_distance		negative		-0.82
greater_flamingo		positive		0.751
greater_flexibility		negative		-0.66
greater_generality		negative		-0.94
greater_insight_into		negative		-0.05
greater_job_satisfaction	positive		0.949
greater_leeway			negative		-0.66
greater_petrosal_nerve		negative		-0.80
greater_quantity		positive		0.185
greater_spotted_eagle		positive		0.031
greater_stitchwort		negative		-0.60
greater_susceptibility		negative		-0.66
greater_uniformity		positive		0.76
greater_vigilance		positive		1
greater_yellowstone		positive		0.05
greater_yellowstone_ecosystem	positive		0.05
greatest			positive		0.77
greatest_beatles_song		positive		0.636
greatest_challenge		negative		-0.70
greatest_happiness		positive		0.781
greatest_mystery		negative		-0.85
greatest_natural_disaster	negative		-0.79
greatest_success		positive		0.889
greatest_treasure		positive		0.151
greatly				positive		0.863
greatly_appreciate		positive		0.817
greatly_assist			negative		-0.04
greatly_benefit			positive		0.153
greatly_enhance			positive		0.719
greatly_exceed			negative		-0.72
greatly_expand			positive		0.055
greatly_improve			positive		0.719
greatly_reduce			positive		0.727
greatness			positive		0.193
greatsword			positive		0.861
greave				negative		-0.67
grecian				negative		-0.85
greco_albanian			negative		-0.76
greed				negative		-0.76
greedier			negative		-0.87
greedily			negative		-0.78
greediness			negative		-0.78
greedy				negative		-0.87
greedy_person			negative		-0.85
greek				negative		-0.85
greek_catholic_church		positive		0.085
greek_civilization		negative		-0.85
greek_colonist			negative		-0.85
greek_colony			negative		-0.85
greek_cuisine			positive		0.929
greek_lettered_organization	positive		0.327
greek_lyric_poet		negative		-0.73
greek_new_testament		positive		0.731
greek_numeral			positive		0.054
greek_revival			positive		0.838
greek_revival_architecture	positive		0.838
greek_revival_building		positive		0.081
greek_salad			positive		0.043
greek_tragedy			positive		0.039
green				positive		0.019
green-eyed			negative		-0.32
green-eyed_monster		negative		-0.32
green_alga			positive		0.032
green_anaconda			negative		-0.63
green_apple			negative		-0.02
green_arrow			positive		0.054
green_bean			positive		0.795
green_bell_pepper		negative		-0.02
green_black			positive		0.943
green_bread			negative		-0.85
green_card			positive		0.761
green_chili			positive		0.914
green_chilli			positive		0.855
green_chillies			positive		0.855
green_color			positive		0.056
green_eyeshade			negative		-0.70
green_foliage			negative		-0.94
green_fruit			positive		0.042
green_garden			positive		0.046
green_glaze			negative		-0.04
green_glow			negative		-0.04
green_gold			negative		-0.64
green_grass			positive		0.076
green_growth			positive		0.046
green_hue			negative		-0.94
green_imperial_pigeon		positive		0.779
green_jacket			positive		0.031
green_lantern_hal_jordan	positive		0.081
green_leafy			positive		0.786
green_leave			negative		-0.06
green_meadow			negative		-0.71
green_oia_office		positive		0.893
green_olive			positive		0.043
green_onion			negative		-0.02
green_orange			positive		0.039
green_papaya_salad		positive		0.889
green_peppercorn		negative		-0.05
green_pigment			positive		0.098
green_plant			positive		0.341
green_red			positive		0.111
green_roof			negative		-0.05
green_salad			positive		0.043
green_sea_turtle		positive		0.887
green_slime			negative		-0.69
green_stripe			negative		-0.20
green_stuff			positive		0.943
green_sweater			negative		-0.04
green_tea			positive		0.092
green_tea_extract		positive		0.128
green_thumb			positive		0.341
green_upperparts		negative		-0.73
green_vegetable			positive		0.109
green_yard			positive		0.076
green_yellow			positive		0.034
greenberg			negative		-0.59
greenery			positive		0.071
greenford			positive		0.721
greengrocer			positive		0.817
greenhorn			negative		-0.71
greenhouse			negative		-0.05
greenhouse_crop			negative		-0.05
greenhouse_gas			negative		-0.76
greenhouse_grower		negative		-0.05
greenhouse_plant		negative		-0.05
greenish-gold			negative		-0.86
greenish_white_flower		negative		-0.09
greenish_yellow_flower		negative		-0.94
greenland_shark			negative		-0.07
greenness			negative		-0.79
greenpeace			positive		0.911
greensburg			negative		-0.04
greenskeeper			negative		-0.75
greensward			negative		-0.31
greet				positive		0.826
greet_card			positive		0.93
greet_guest			negative		-0.80
greet_person			positive		0.035
greet_visitor			positive		0.032
greeting			positive		0.773
greetings_cards			negative		-0.83
greg				negative		-0.89
gregarious			positive		0.774
gregariousness			negative		-0.70
gregor_fisher			negative		-0.73
gregory_bateson			negative		-0.69
greie				negative		-0.71
gremlin				negative		-0.79
gremolata			positive		0.043
grenade				negative		-0.79
gretchen			negative		-0.89
gretchen_mol			positive		0.611
gretchen_wilson			positive		0.06
grete_waitz			negative		-0.05
gretsch				negative		-0.72
grettir				positive		0.148
grey_beard			negative		-0.62
grey_blue_eye			negative		-0.78
grey_cat			positive		0.116
grey_cloth			negative		-0.62
grey_cloud			negative		-0.09
grey_fur			negative		-0.75
grey_gargoyle			positive		0.829
grey_hair			negative		-0.77
grey_heron			positive		0.032
grey_heron_ardea_cinerea	positive		0.751
grey_jacket			negative		-0.67
grey_partridge			positive		0.72
grey_seal			negative		-0.07
grey_sky			negative		-0.09
grey_trousers			negative		-0.67
grey_wagtail			positive		0.032
greyhawk_wars			negative		-0.75
greyhound_bus			positive		0.058
greyhound_bus_station		positive		0.058
greyhound_station		positive		0.034
greying_hair			negative		-0.77
greyish_brown			negative		-0.61
greyish_white			negative		-0.61
greylag_goose			positive		0.031
greyness			positive		0.754
grid				positive		0.943
grid_array			negative		-0.69
griddle				positive		0.113
griddle_pan			negative		-0.78
gridlock			negative		-0.94
gridlocked			negative		-0.95
grief				negative		-1
grief-stricken			negative		-0.43
grief_stricken			negative		-0.78
grievance			negative		-0.32
grieve				negative		-0.75
griever				negative		-0.72
grieving			negative		-0.43
grieving_mother			negative		-0.22
grievous			negative		-0.32
grievous_sin			positive		0.035
grievous_sins			positive		0.035
grievously			negative		-0.32
griffin				positive		0.864
grignard_reaction		negative		-0.85
grignard_reagent		negative		-0.01
grill				positive		0.055
grill_food			positive		0.05
grill_pan			positive		0.683
grill_rack			positive		0.055
grill_restaurant		positive		0.055
grille				positive		0.898
grilled_lamb			positive		0.035
grilled_lamb_chop		positive		0.03
grilled_lobster			positive		0.055
grilled_onion			negative		-0.05
grilled_salmon			positive		0.03
grilled_sandwich		positive		0.072
grilled_shrimp			positive		0.043
grilled_steak			positive		0.049
grilled_vegetable		positive		0.047
grillwork			positive		0.692
grillworking			positive		0.69
grillworkwork			positive		0.69
grim				negative		-0.79
grim_prospect			negative		-0.70
grim_reality			negative		-0.76
grimace				negative		-0.08
grimalkin			positive		0.76
grimbergen			negative		-0.75
grime				negative		-0.91
grimlord			positive		0.829
grimly				negative		-0.85
grimm_brother			positive		0.096
grimm_fairy_tale		positive		0.096
grimm_tale			positive		0.096
grimmer				negative		-0.76
grimms_fairy_tales		positive		0.096
grimness			positive		0.621
grimoire			positive		0.554
grimy				negative		-0.96
grin				positive		0.742
grind				negative		-0.06
grind_flour			negative		-0.76
grind_grain			negative		-0.04
grindcore			positive		0.726
grindcore_band			negative		-0.81
grindelia			negative		-0.67
grindhouse			negative		-0.69
grinding			negative		-0.81
grinding_mill			negative		-0.76
grinding_poverty		negative		-0.28
gringo				negative		-0.71
grip				positive		0.053
grip_strength			negative		-0.09
grip_tool			positive		0.107
gripe				negative		-0.56
grippe				positive		0.834
gripping			positive		0.692
gripping_story			positive		0.148
gripping_tale			negative		-0.78
griseiceps			negative		-0.69
grisliness			negative		-0.9
grisly				negative		-0.89
gristedes			negative		-0.03
gristle				negative		-0.73
gristly				negative		-0.9
grit				positive		0.915
grit_sandwich			positive		0.867
gritted_teeth			negative		-0.31
grittier			negative		-0.78
grittiest			positive		0.871
grittily			positive		0.871
grittiness			positive		0.718
gritty				positive		0.871
gritty_drama			negative		-0.78
gritty_realism			positive		0.871
gritty_reality			negative		-0.78
gritty_urban			negative		-0.78
griz				negative		-0.81
grizzle				negative		-0.67
grizzled			positive		0.768
grizzled_hair			positive		0.118
grizzled_old			negative		-0.84
grizzly				positive		0.032
grizzly_bear			negative		-0.76
grizzly_bear_population		negative		-0.76
grizzly_bear_ursus_arctos	negative		-0.76
grnes_gewlbe			positive		0.112
groan				negative		-0.85
grocer				positive		0.817
groceries			positive		0.04
grocery				positive		0.074
grocery_aisle			positive		0.04
grocery_bag			negative		-0.83
grocery_bill			positive		0.04
grocery_cart			positive		0.072
grocery_item			positive		0.04
grocery_list			positive		0.04
grocery_shop			positive		0.138
grocery_shopping		positive		0.04
grocery_store			positive		0.051
grog				positive		0.043
groggily			negative		-0.58
grogginess			negative		-0.10
groggy				negative		-0.58
groin				positive		0.025
groin_injury			positive		0.781
groin_muscle			positive		0.781
grok				positive		0.854
grommet				positive		0.806
groom				positive		0.043
groom_hair			negative		-0.04
groomed				positive		0.828
grooming			positive		0.764
groove				positive		0.059
groove_metal			positive		0.726
grooved_ware			positive		0.071
grope				negative		-0.76
groped				negative		-0.76
groping				negative		-0.80
grosgrain			positive		0.789
grosgrain_ribbon		negative		-0.04
gross				negative		-0.87
gross-out			positive		0.85
gross_carelessness		negative		-0.72
gross_hematuria			negative		-0.78
gross_ignorance			positive		0.772
gross_incompetence		negative		-0.69
gross_indecency			positive		0.769
gross_injustice			negative		-0.85
gross_monthly			positive		0.778
gross_neglect			negative		-0.72
gross_negligence		negative		-0.72
gross_out			negative		-0.32
gross_output			positive		0.619
gross_salary			positive		0.923
grossest			positive		0.769
grossly				negative		-0.75
grossly_negligent		negative		-0.72
grossmith			negative		-0.62
grossness			negative		-0.8
grotesque			negative		-0.81
grotesque_figure		negative		-0.72
grotesquely			negative		-0.82
grotesqueness			negative		-0.81
grotesquerie			negative		-0.72
grotte_de			negative		-0.03
grotto				negative		-0.03
grottoes			negative		-0.03
grotty				negative		-0.76
grouch				negative		-0.78
grouchy				negative		-0.87
ground				positive		0.059
ground-breaking			positive		0.949
ground_almond			positive		0.855
ground_breaking_research	positive		0.882
ground_clearance		negative		-0.74
ground_coriander		positive		0.855
ground_cover			positive		0.059
ground_cumin			positive		0.1
ground_floor			positive		0.067
ground_floor_entrance		positive		0.04
ground_floor_room		positive		0.067
ground_level			positive		0.059
ground_lightning_strike		negative		-0.76
ground_material			negative		-0.03
ground_ocean			negative		-0.02
ground_squirrel			positive		0.977
ground_water_supply		positive		0.685
groundbreaking			positive		0.76
groundbreaking_research		positive		0.882
groundcherry			negative		-0.92
groundcover			negative		-0.65
grounding_conductor		negative		-0.09
groundless			negative		-0.83
groundlessness			positive		0.869
groundskeeper			negative		-0.09
groundwater			positive		0.685
groundwater_supply		positive		0.685
groundwater_well		positive		0.685
groundwood			positive		0.035
group				positive		0.093
group_animal			positive		0.035
group_cohesiveness		negative		-0.73
group_company			positive		0.066
group_discussion		negative		-0.08
group_gathering			positive		0.811
group_lower_heterobranchia	positive		0.094
group_meet			positive		0.051
group_of_people			positive		0.111
group_opisthobranchia		positive		0.094
group_sog			negative		-0.06
group_star			positive		0.057
group_student			positive		0.98
group_swg			positive		0.093
group_together			negative		-0.09
group_wgs			positive		0.093
grouped				positive		0.865
grouped_together		negative		-0.63
groupie				positive		0.174
grouping			negative		-0.63
groupsthe			positive		0.093
groupthe			positive		0.093
grouse				positive		0.72
grouse_moor			positive		0.72
grovel				negative		-0.91
groveler			negative		-0.59
groveling			positive		0.762
grow				positive		0.106
grow_beard			positive		0.063
grow_corn			negative		-0.03
grow_crop			positive		0.035
grow_flower			positive		0.054
grow_food			positive		0.074
grow_garden			positive		0.074
grow_healthy			positive		0.813
grow_impatient			negative		-0.06
grow_large			positive		0.139
grow_long			positive		0.091
grow_old			positive		0.98
grow_older			negative		-0.84
grow_organic_garden		negative		-0.03
grow_place			positive		0.054
grow_plant			positive		0.074
grow_pot			positive		0.074
grow_richer			positive		0.848
grow_stuff			positive		0.046
grow_tree			positive		0.051
grow_up				positive		0.87
grow_vegetable			positive		0.019
grow_yard			negative		-0.05
groweth				positive		0.823
growin				negative		-0.59
growing				negative		-0.75
growing_appetite		positive		0.124
growing_awareness		positive		0.103
growing_clout			negative		-0.92
growing_discontent		negative		-0.88
growing_disenchantment		negative		-0.88
growing_impatience		negative		-0.94
growing_louder			negative		-0.86
growing_menace			negative		-0.72
growing_popularity		positive		0.882
growing_resentment		negative		-0.88
growing_unrest			negative		-0.88
growl				negative		-0.07
growling			negative		-0.77
grown_up			positive		0.045
grownup				positive		0.666
grows_dim			positive		0.638
growth				positive		0.068
growth_hormone_gh		positive		0.783
growth_hormone_secretion	positive		0.783
growth_retardation		positive		0.74
groyne				positive		0.939
groynes				positive		0.939
grub				positive		0.892
grubber				negative		-0.79
grubbs_catalyst			positive		0.767
grubby				negative		-0.95
grudge				negative		-0.91
grudge_against			negative		-0.91
grudge_towards			negative		-0.91
grudges_against			negative		-0.91
grudging			negative		-0.32
grudging_respect		positive		0.894
grudgingly			negative		-0.74
gruel				negative		-0.85
grueling_hour			negative		-0.76
gruenke				negative		-0.59
gruesome			negative		-0.82
gruesome_death			negative		-0.78
gruesome_scene			negative		-0.06
gruff				negative		-0.68
gruff_exterior			negative		-0.80
gruff_voice			negative		-0.68
gruffly				negative		-0.87
gruffness			negative		-0.82
gruiformes			negative		-0.84
grumble				negative		-0.77
grump				negative		-0.69
grumpily			negative		-0.32
grumpiness			negative		-0.80
grumpy				negative		-0.88
grumpy_old			negative		-0.75
grumpy_old_man			negative		-0.86
grundgetta			negative		-0.78
grunge				positive		0.726
grungy				negative		-0.87
grunt				negative		-0.07
grunt_work			positive		0.837
gruntle				positive		0.919
gruumsh				positive		0.689
gsce				positive		0.036
gsla_saga			positive		0.148
gu_bheil_iad			positive		0.875
gu_mccrae			positive		0.795
guaiacol			negative		-0.85
guanaco				negative		-0.75
guanaco_lama_guanicoe		negative		-0.75
guanidine			positive		0.719
guarantee			positive		0.841
guaranteed_admission		positive		0.738
guaranteed_minimum		positive		0.778
guaranteed_tuition		negative		-0.13
guaranteeing_loan		positive		0.885
guard				positive		0.055
guard_against			negative		-0.79
guard_bank			negative		-0.09
guard_compartment		positive		0.085
guard_deron_williams		positive		0.701
guard_hair			negative		-0.68
guard_prisoner			positive		0.886
guard_rail			positive		0.901
guarded				positive		0.357
guarded_optimism		negative		-0.77
guardian			positive		0.942
guardian_angel			positive		0.661
guardian_spirit			positive		0.735
guarding_against		positive		1
guava				positive		0.914
guava_tree			positive		0.857
guavas				positive		0.914
guayaba				positive		0.914
guberman			negative		-0.59
gucci_mane			positive		0.948
guenon				positive		0.795
guerdon				positive		0.73
guerilla_force			positive		0.906
guerilla_marketing		negative		-0.19
guerlain			positive		0.867
guernsey_cow			positive		0.683
guerrilla_fighter		positive		0.906
guerrilla_force			positive		0.906
guess				positive		0.943
guess_answer			negative		-0.08
guesswork			positive		0.853
